ID,MODEL_NO,DIMAID,WID,AIRLINE,AIRCRAFT_TYPE,REGISTRATION,DESCRIPTION,SIZE,PRICE,SHIPPING,TAX,COMPANY,ORDEREDFROM,DATEOFORDER,HangarClub,PictureID
6593,PH4HDA1445,71912.0,,CATHAY DRAGON,A330-300,B-HYQ,Phoenix Models Cathay Dragon A330-343E 1:400 PH4HDA1445  2016s  Colors. With Rolling Gears.B-HYQ,1:400,31.17,0.0,0.0,PHOENIX MODELS,ADI,2016-05-15,False,7437.0
6595,GJEIN1433,72048.0,,AER LINGUS,A320-200,EI-DEK,Gemini Jets Aer Lingus A320-214 1:400 GJEIN1433  2000s  Colors. With Rolling Gears.EI-DEK,1:400,24.93,0.0,0.0,GEMINIJETS,ADI,2016-05-15,False,7501.0
6596,JC2KLM250,71120.0,,KLM,B777-300ER,PH-BVD,JC Wings KLM Royal Dutch Airlines B 777-306ER 1:200 JC2KLM250  SkyTeam  Colors. With  SkyTeam  Logo. With Rolling Gears. With Stand.PH-BVD,1:200,74.09,0.0,0.0,JC WINGS,ADI,2016-05-15,False,7502.0
6597,JC2ETD332,71384.0,,ETIHAD AIRWAYS,A340-600,A6-EHJ,JC Wings Etihad Airways A340-642 1:200 JC2ETD332  Formula 1  Colors. With Rolling Gears. With Stand.A6-EHJ,1:200,81.89,0.0,0.0,JC WINGS,ADI,2016-05-15,False,7503.0
6598,JC2CPA802,71588.0,,CATHAY PACIFIC,B747-800,B-LJM,JC Wings Cathay Pacific B 747-867F 1:200 JC2CPA802  1997s  Colors. With Rolling Gears. With Stand.B-LJM,1:200,97.5,0.0,0.0,JC WINGS,ADI,2016-05-15,False,7504.0
6599,JC2CPA803,71589.0,,CATHAY PACIFIC,B747-800,B-LJC,JC Wings Cathay Pacific B 747-867F 1:200 JC2CPA803  1997s  Colors. With  100th  Logo. With Rolling Gears. With Stand.B-LJC,1:200,97.5,0.0,0.0,JC WINGS,ADI,2016-05-15,False,7505.0
6600,JC2JAL530,70238.0,,JAL,B747-400,JA8912,JC Wings JAL Japan Airlines B 747-446 1:200 JC2JAL530 	 Tokyo - Disney Sea  Colors. With Rolling Gears. With Stand.JA8912,1:200,109.2,0.0,0.0,JC WINGS,ADI,2016-05-15,False,7506.0
6601,JC2BOE001,71388.0,,BOEING,B747-800,N6067E,JC Wings Boeing Aircraft Company B 747-8JK 1:200 JC2BOE001  2010s - House  Colors Sunrise Livery. With Rolling Gears. With Stand.N6067E,1:200,93.6,0.0,0.0,JC WINGS,ADI,2016-05-15,False,7507.0
6602,WB-CARGO,72302.0,,LUFTHANSA,B747-200,D-ABZF,Inflight200 Lufthansa Cargo B 747-230F 1:200 WB-CARGO 	 1980s  Colors. With Polished Fuselage. With Rolling Gears. With Stand.D-ABZF,1:200,134.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-05-11,False,7508.0
6604,SM2-001-006-05,72368.0,,DELTA,MD-11,N813DE,Seattle Model Aircraft Company Delta Air Lines MD-11 1:200 SM2-001-006-05  2000s - Deltaflot  Colors. With Rolling Gears. With Stand.N813DE,1:200,106.0,0.0,0.0,SMA,WAFFLECOLLECTIBLES,2016-05-24,False,7510.0
6605,IF7420216,71929.0,,OLYMPIC,B747-200,SX-OAC,Inflight200 Olympic Airways B 747-212B 1:200 IF7420216  1990s  Colors. Named  Olympic Spirit . With Rolling Gears. With Stand.SX-OAC,1:200,122.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-03-04,False,7511.0
6606,IF742QFA742,71961.0,,QANTAS,B747-200,VH-EBQ,Inflight200 Qantas Airways B 747-238B 1:200 IF742QFA742  1990s  Colors. With Rolling Gears. With Stand.VH-EBQ,1:200,122.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-05-24,False,7512.0
6607,ARD2030,72403.0,,AER LINGUS,B747-100,EI-ASJ,Inflight200 Aer Lingus B 747-148 1:200 ARD2030  1970s - Delivery  Colors. With Polished Fuselage. With Rolling Gears. With Stand.EI-ASJ,1:200,131.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-05-29,False,7513.0
6608,HL7001,25392.0,,PANAM,DC7C,N731PA,Hobby Master Pan American World Airways DC-7C 1:200 HL7001  1950s  Colors. With Rolling Gears.N731PA,1:200,29.0,0.0,0.0,HOBBYMASTER,WAFFLECOLLECTIBLES,2016-05-24,False,7514.0
6609,CA 14N,24950.0,,PANAM,L049-46,N88861,Western Models Pan American World Airways L-049-46 Constellation 1:200 CA 14N  1950s  Colors. Named  Clipper Winged Arrow . With Rolling Gears.  N88861,1:200,36.0,0.0,0.0,WESTERN MODELS,WAFFLECOLLECTIBLES,2016-05-24,False,7515.0
6612,NA,,17353,AMERICAN AIRLINES,A300-600,N80084,Green Box Models American Airlines A300B4-605R 1:400 - NA - ID#17353; 1990s  Colors. With Polished Fuselage. With Rolling Gears.N80084,1:400,64.95,4.35,0.0,AEROCLASSICS,ebay:tincanflyer,2016-06-13,False,7516.0
6613,ACBLAJ,72330.0,,CATHAY PACIFIC,A330-300,B-LAJ,Aeroclassics CATHAY PACIFIC A330-342 1:400 ACBLAJ  2015s  Colors. With Rolling Gears.B-LAJ,1:400,34.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-05-11,False,7519.0
6614,NA,,17353,AMERICAN AIRLINES,A300-600,N80084,Green Box Models American Airlines A300B4-605R 1:400 - NA - ID#17353; 1990s  Colors. With Polished Fuselage. With Rolling Gears.N80084,1:400,50.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-05-24,False,7516.0
6615,ACBLAJ,72330.0,,CATHAY PACIFIC,A330-300,B-LAJ,Aeroclassics CATHAY PACIFIC A330-342 1:400 ACBLAJ  2015s  Colors. With Rolling Gears.B-LAJ,1:400,34.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-05-11,False,7519.0
6616,ACBLAJ,72330.0,,CATHAY PACIFIC,A330-300,B-LAJ,Aeroclassics CATHAY PACIFIC A330-342 1:400 ACBLAJ  2015s  Colors. With Rolling Gears.B-LAJ,1:400,34.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-05-11,False,7519.0
6617,ACN473DA,72529.0,,DELTA,B727-200,N473DA,Aeroclassics Delta Air Lines B 727-232 1:400 ACN473DA  Widget  Colors. With Rolling Gears.N473DA,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7523.0
6618,ACN473DA,72529.0,,DELTA,B727-200,N473DA,Aeroclassics Delta Air Lines B 727-232 1:400 ACN473DA  Widget  Colors. With Rolling Gears.N473DA,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7523.0
6622,ACN769US,72533.0,,USAIR,B727-200,N769US,Aeroclassics USAir B 727-227 1:400 ACN769US  1990s  Colors. With Polished Fuselage. With Rolling Gears.N769US,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7528.0
6623,ACN912TS,72534.0,,USAIR,B727-200,N912US,Aeroclassics USAir B 727-227 1:400 ACN912US  1990s - Shuttle  Colors. With Rolling Gears.N912TS,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7529.0
6624,ACB16336,72519.0,,EVA AIR,A330-300,B-16336,Aeroclassics EVA Air A330-302 1:400 ACB16336  2003s  Colors. With  Star Alliance  Logo. With Rolling Gears.B-16336,1:400,32.26,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7530.0
6625,ACB16336,72519.0,,EVA AIR,A330-300,B-16336,Aeroclassics EVA Air A330-302 1:400 ACB16336  2003s  Colors. With  Star Alliance  Logo. With Rolling Gears.B-16336,1:400,32.26,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7530.0
6626,ACB16336,72519.0,,EVA AIR,A330-300,B-16336,Aeroclassics EVA Air A330-302 1:400 ACB16336  2003s  Colors. With  Star Alliance  Logo. With Rolling Gears.B-16336,1:400,32.26,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7530.0
6627,ACN8833E,72530.0,,EASTERN AIRLINES,B727-200,N8833E,Aeroclassics Eastern Airlines B 727-225 1:400 ACN8833E  1970s - Hockey Stick  Colors. With Rolling Gears.N8833E,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7533.0
6628,ACZSNOV,72527.0,,BRITISH AIRWAYS,B727-200,ZS-NOV,Aeroclassics Comair  british airways B 727-230 1:400 	ACZSNOV  British Airways - Landor  Colors. With Rolling Gears.ZS-NOV,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7534.0
6629,ACZSOBM,72528.0,,BRITISH AIRWAYS,B727-200,ZS-OBM,Aeroclassics Comair british airways B 727-230 1:400 ACZSOBM  British Airways - United Kingdom - Union Jack  Colors. With Rolling Gears.ZS-OBM,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7535.0
6630,ACDADJO,72537.0,,Lufthansa,DC10-30,D-ADJO,Aeroclassics Lufthansa DC-10-30 1:400 ACDADJO  1990s  Colors. With Rolling Gears.D-ADJO,1:400,32.26,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7536.0
6631,ACDADJO,72537.0,,Lufthansa,DC10-30,D-ADJO,Aeroclassics Lufthansa DC-10-30 1:400 ACDADJO  1990s  Colors. With Rolling Gears.D-ADJO,1:400,32.26,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7536.0
6633,ACN8602,72538.0,,EASTERN AIRLINES,DC8-21,N8602,Western Models Eastern Airlines DC-8-21 1:200 ACN8602  1960s  Colors. With Rolling Gears.N8602,1:200,67.11,1.25,0.0,WESTERN MODELS,WAFFLECOLLECTIBLES,2016-06-10,False,7538.0
6634,ACN8610,72539.0,,EASTERN AIRLINES,DC8-21,N8610,Western Models Eastern Airlines DC-8-21 1:200 ACN8610 	 1960s  Colors. With Rolling Gears.N8610,1:200,67.11,1.25,0.0,WESTERN MODELS,WAFFLECOLLECTIBLES,2016-06-10,False,7540.0
6635,ACN8610,72539.0,,EASTERN AIRLINES,DC8-21,N8610,Western Models Eastern Airlines DC-8-21 1:200 ACN8610 	 1960s  Colors. With Rolling Gears.N8610,1:200,67.11,1.25,0.0,WESTERN MODELS,WAFFLECOLLECTIBLES,2016-06-10,False,7540.0
6636,ACXASYE,72520.0,,TAESA,DC10-30,XA-SYE,Aeroclassics TAESA DC-10-30 1:400 ACXASYE  1990s  Colors. With Rolling Gears.XA-SYE,1:400,32.26,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7542.0
6637,ACHK724,72522.0,,Avianca Colombia,B720,HK-724,Aeroclassics Avianca Colombia B 720-059B 1:400 ACHK724  1980s  Colors. WIth Rolling Gears.HK-724,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7543.0
6638,ACHK725,72523.0,,Avianca Colombia,B720,HK-725,Aeroclassics Avianca Colombia B 720-059B 1:400 ACHK725  1980s  Colors. WIth Rolling Gears.HK-725,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7544.0
6639,ACDABOP,72526.0,,LUFTHANSA,B720,D-ABOP,Aeroclassics Lufthansa B 720-030B 1:400 ACDABOP  1960s  Colors. With Rolling Gears.D-ABOP,1:400,30.56,1.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-06-10,False,7545.0
6640,HG8737B,,34862,British Airways,CONCORDE,G-BOAA,Hogan British Airways Concorde 102 1:200 - HG8737B - ID#34862; Red Tail  Colors. With  British  titles. With Rollable Gear. With Stand.G-BOAA,1:200,35.0,0.0,0.0,HOGAN,RUSSELL EPSTEIN,2016-06-18,False,7546.0
6641,CUSTOMPHILLIPINE01,,CUSTOMPHILLIPINE01,PHILIPPINE AIRLINES,B747-200,EI-BZA,INFLIGHT200 PHILLIPINE AIRLINES 747-200 CUSTOM MODEL EI-BZA,1:200,100.0,0.0,0.0,INFLIGHT200,RUSSELL EPSTEIN,2016-06-18,False,7547.0
6642,IF742QFA7421P,71962.0,,QANTAS,B747-200,VH-EBA,Inflight200 Qantas Airways B 747-238B 1:200 IF742QFA7421P  1970s  Colors. With Polished Fuselage. With Rolling Gears. With Stand.VH-EBA,1:200,122.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-04-13,False,7548.0
6643,IF7421216P,71964.0,,SWISSAIR,B747-200,HB-IGB,Inflight200 Swissair B 747-257B 1:200 IF7421216P  1970s  Colors. With Polished Fuselage. With Rolling Gears. With Stand.HB-IGB,1:200,125.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-04-13,False,7549.0
6644,	JFI-747-2-010,71918.0,,ALITALIA,B747-200,I-DEMF,Inflight200 Alitalia B 747-243BSCD 1:200 :	JFI-747-2-010  Baci  Colors. Named  Portofino . With Rolling Gears. With Stand.I-DEMF,1:200,130.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-03-09,False,7550.0
6645,JFI-747-2-011,71919.0,,ALITALIA,B747-200,I-DEMS,Inflight200 Alitalia B 747-243B 1:200 JFI-747-2-011  Bvlgari Aluminum Flies With Alitalia  Colors. With Rolling Gears. With Stand.I-DEMS,1:200,130.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-03-09,False,7551.0
6646,BBOX211,71000.0,,ANSETT AUSTRALIA,B747-400,VH-ANA,JC Wings Ansett Australia B 747-412 1:200 BBOX211  Sydney 2000 Olympics  Colors. With  Star Alliance  Logo. With Rolling Gears. With Stand.VH-ANA,1:200,118.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2015-10-04,False,7552.0
6647,JC2QFA852,70805.0,,QANTAS,B747-400,VH-OJU,JC Wings Qantas Airways B 747-438 1:200 JC2QFA852  OneWorld  Colors. With Rolling Gears.VH-OJU,1:200,113.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2016-05-11,False,7553.0
6648,JC2QFA230,72214.0,,QANTAS,B747-400,VH-OJO,JC Wings Qantas Airways B 747-438 1:200 JC2QFA230  Go Wallabies  Colors. With Rolling Gears. With Stand.VH-OJO,1:200,108.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2016-05-11,False,7554.0
6649,IFCL7430416,72171.0,,SABENA,B747-300,OO-SGC,Inflight200 Sabena B 747-329 1:200 IFCL7430416  1990s  Colors. With  Flying Together - Swissair  Titles. With Rolling Gears. With Stand.OO-SGC,1:200,135.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-05-29,False,7555.0
6650,IF7420316P,72163.0,,VARIG,B747-200,PP-VNA,Inflight200 VARIG B 747-2L5B 1:200 IF7420316P  1970s  Colors. With Polished Fuselage. With Rolling Gears. With Stand.PP-VNA,1:200,125.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2016-04-13,False,7556.0
6651,IFJET51P,71231.0,,EASTERN AIRLINES,B747-200,N731PA,Inflight200 Eastern Airlines B 747-121A 1:200 IFJET51P  1970s - HockeyStick  Colors. With Polished Fuselage. With Rolling Gears. With Stand.N731PA,1:200,130.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2015-11-30,False,7557.0
6652,G2NWA607,72499.0,,NORTHWEST,B747-400,N675NW,Gemini Jets Northwest Airlines B 747-451 1:200 G2NWA607 	 1990s  Colors. With  KLM/Northest  Logo. With  Spirit of the Northwest People  Titles. With Rolling Gears. With Stand.N675NW,1:200,107.0,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2016-04-13,False,7558.0
6653,ACN8606,72689.0,,EASTERN AIRLINES,DC8-21,N8606,Western Models Eastern Airlines DC-8-21 1:200 ACN8606  1960s  Colors. With  Fly Eastern  Titles. With Rolling Gears.N8606,1:200,67.96,3.0,0.0,WESTERN MODELS,WAFFLECOLLECTIBLES,2016-07-08,False,7559.0
6654,ACN8606,72689.0,,EASTERN AIRLINES,DC8-21,N8606,Western Models Eastern Airlines DC-8-21 1:200 ACN8606  1960s  Colors. With  Fly Eastern  Titles. With Rolling Gears.N8606,1:200,67.96,3.0,0.0,WESTERN MODELS,WAFFLECOLLECTIBLES,2016-07-08,False,7559.0
6655,BBOX215,71119.0,,ANSETT AUSTRALIA,B747-300,VH-INH,JC Wings Ansett Australia B 747-312 1:200 BBOX215  1996s  Colors. With  Star Alliance  Logo. With Rolling Gears.VH-INJ,1:200,122.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2015-10-04,False,7561.0
6656,PH4CPAXXX,72324.0,,Cathay Pacific,A330-300,B-LAJ,Phoenix Models Cathay Pacific A330-342 1:400 PH4CPAXXX  2015s  Colors. With Rolling Gears.B-LAJ,1:400,35.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2016-05-11,False,7562.0
6657,PH4CPAXXX,72323.0,,Cathay Pacific,B747-400,B-LIA,Phoenix Models Cathay Pacific B 747-467ERF 1:400 PH4CPAXXX  2016s  Colors. With Rolling Gears.B-LIA,1:400,38.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2016-05-11,False,7563.0
6658,ACN706FR,72681.0,,Frontier Airlines,A321-200,N706FR,Aeroclassics Frontier Airlines A321-211WL 1:400 ACN706FR 	 2015s - Bobcat  Colors. With Rolling Gears.N706FR,1:400,30.56,1.5,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-07-08,False,7564.0
6659,ACN706FR,72681.0,,Frontier Airlines,A321-200,N706FR,Aeroclassics Frontier Airlines A321-211WL 1:400 ACN706FR 	 2015s - Bobcat  Colors. With Rolling Gears.N706FR,1:400,30.56,1.5,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-07-08,False,7564.0
6660,ACN706FR,72681.0,,Frontier Airlines,A321-200,N706FR,Aeroclassics Frontier Airlines A321-211WL 1:400 ACN706FR 	 2015s - Bobcat  Colors. With Rolling Gears.N706FR,1:400,30.56,1.5,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-07-08,False,7564.0
6661,ACN704FR,72680.0,,Frontier Airlines,A321-200,N704FR,Aeroclassics Frontier Airlines A321-211WL 1:400 ACN704FR  2015s - Wolf  Colors. With Rolling Gears.  N704FR,1:400,30.56,1.5,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-07-08,False,7567.0
6662,ACN704FR,72680.0,,Frontier Airlines,A321-200,N704FR,Aeroclassics Frontier Airlines A321-211WL 1:400 ACN704FR  2015s - Wolf  Colors. With Rolling Gears.  N704FR,1:400,30.56,1.5,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-07-08,False,7567.0
6663,ACN704FR,72680.0,,Frontier Airlines,A321-200,N704FR,Aeroclassics Frontier Airlines A321-211WL 1:400 ACN704FR  2015s - Wolf  Colors. With Rolling Gears.  N704FR,1:400,30.56,1.5,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2016-07-08,False,7567.0
6664,GJASA1501,72279.0,,ALASKA AIRLINES,B737-800,N563AS,Gemini Jets Alaska Airlines B 737-890WL 1:400 GJASA1501  2016s  Colors. With Rolling Gears.N563AS,1:400,25.0,2.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7570.0
6665,GJAAL1558,72281.0,,AMERICAN AIRLINES,ERJ-190AR,N953UW,Gemini Jets American Airlines ERJ-190AR 1:400 GJAAL1558  2011s  Colors. With Rolling Gears.  N953UW,1:400,23.36,2.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7571.0
6666,GJUAL1523,71702.0,,UNITED,ERJ-145LR,N14923,Gemini Jets United Express / ExpressJet Airlines ERJ-145LR 1:400 GJUAL1523  2012s  Colors. With  Star Alliance  Logo.N14923,1:400,25.0,2.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7572.0
6667,GJICE1544,72284.0,,ICELANDAIR,B757-200,TF-FIU,Gemini Jets Icelandair B 757-256WL 1:400 GJICE1544  Northern Lights - Hekla Aurora  Colors.TF-FIU,1:400,28.9,2.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7573.0
6668,GJJBU1520,72285.0,,JETBLUE,ERJ-190AR,N231JB,Gemini Jets JetBlue Airways ERJ-190AR 1:400 GJJBU1520  2010s  Colors. With Rolling Gears.N231JB,1:400,23.4,2.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7574.0
6669,GJNKS1355,72287.0,,SPIRIT AIRLINES,A320-200,N642NK,Gemini Jets Spirit Airlines A320-232WL 1:400 GJNKS1355  2010s - Taxi Cab  Colors. With Rolling Gears.N642NK,1:400,25.0,2.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7575.0
6670,G2ABW585,72289.0,,AIR BRIDGE CARGO,B747-800,VQ-BRJ,Gemini Jets AirBridgeCargo B 747-8HVF 1:200 G2ABW585  2010s  Colors. With Rolling Gears. With Stand.VQ-BRJ,1:200,107.64,7.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7576.0
6671,G2AAL331,72290.0,,AMERICAN AIRLINES,CRJ702,N538EG,Gemini Jets American Eagle / Envoy Airlines CRJ702ER 1:200 G2AAL331  1990s  Colors. With Rolling Gears. With Stand.N538EG,1:200,43.65,4.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7577.0
6672,G2DAL328,72292.0,,DELTA,A320-200,N374NW,Gemini Jets Delta Air Lines A320-212 1:200 G2DAL328  2007s  Colors. With  SkyTeam  Logo. With Rolling Gears. With Stand.N374NW,1:200,53.8,4.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7578.0
6673,G2JBU373,72294.0,,JETBLUE,A321-200,N948JB,Gemini Jets JetBlue Airways A321-231WL 1:200 G2JBU373  2010s  Colors. With Rolling Gears. With Stand.N948JB,1:200,53.8,4.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7579.0
6674,G2DLH363,72295.0,,LUFTHANSA,A330-300,D-AIKA,Gemini Jets Lufthansa A330-343E 1:200 G2DLH363  1990s  Colors. With  Star Alliance  Logo. With Rolling Gears. With Stand.D-AIKA,1:200,84.23,5.0,0.0,GEMINIJETS,ADI,2016-06-26,False,7580.0
6675,JC2UPS794,70613.0,,UPS,B747-200,N521UP,JC Wings United Parcel Service B 747-212FSCD 1:200 JC2UPS794  Olympics  Colors. With Rolling Gears. With Stand.N521UP,1:200,89.69,7.0,0.0,JC WINGS,ADI,2016-06-26,False,7581.0
6676,BBOX211,71000.0,,ANSETT AUSTRALIA,B747-400,VH-ANA,JC Wings Ansett Australia B 747-412 1:200 BBOX211  Sydney 2000 Olympics  Colors. With  Star Alliance  Logo. With Rolling Gears. With Stand.VH-ANA,1:200,101.39,7.0,0.0,JC WINGS,ADI,2016-06-26,False,7552.0
6677,BBOX213,71118.0,,ANSETT AUSTRALIA,B747-400,VH-ANB,JC Wings Ansett Australia B 747-412 1:200 BBOX213  1996s  Colors. With  Star Alliance  Logo. With Rolling Gears.VH-ANB,1:200,89.69,7.0,0.0,JC WINGS,ADI,2016-06-26,False,7583.0
6678,JC2QFA852,70805.0,,QANTAS,B747-400,VH-OJU,JC Wings Qantas Airways B 747-438 1:200 JC2QFA852  OneWorld  Colors. With Rolling Gears.VH-OJU,1:200,93.59,7.0,0.0,JC WINGS,ADI,2016-06-26,False,7553.0
6679,JC2CPA211,71426.0,,Cathay Pacific,A350-900,B-LRA,JC Wings Cathay Pacific A350-941 1:200 JC2CPA211A 	 2015s  Colors. With Flaps Down. With Rolling Gears. With Stand.B-LRA,1:200,77.99,5.0,0.0,JC WINGS,ADI,2016-06-26,False,7585.0
6680,JC2QFA971,70609.0,,QANTAS,B747-300,VH-EBU,JC Wings Qantas Airways B 747-338 1:200 JC2QFA971  Nalanji Dreaming  Colors. With Rolling Gears. With Stand.VH-EBU,1:200,101.43,6.0,0.0,JC WINGS,ADI,2016-06-26,False,7586.0
6681,GJABW1554,72486.0,,AIR BRIDGE CARGO,B747-800,VQ-BRJ,Gemini Jets AirBridgeCargo B 747-8HVF 1:400 GJABW1554  2010s  Colors. With Rolling Gears.VQ-BRJ,1:400,35.0,1.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7587.0
6682,GJJBU1546,72490.0,,JETBLUE,A320-200,N775JB,Gemini Jets JetBlue Airways A320-232 1:400 GJJBU1546  Veterans  Colors. With Rolling Gears.N775JB,1:400,25.0,1.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7588.0
6683,GJDLH1371,72491.0,,LUFTHANSA,MD-11F,D-ALCN,Gemini Jets Lufthansa Cargo MD-11F 1:400 GJDLH1371  1990s  Colors. With Rolling Gears.D-ALCN,1:400,28.0,1.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7589.0
6684,G2AAL593,72495.0,,AMERICAN AIRLINES,ERJ-190AR,N953UW,Gemini Jets American Airlines ERJ-190AR 1:200 G2AAL593 	 2011s  Colors. With Rolling Gears. With Stand.N953UW,1:200,51.0,3.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7590.0
6685,G2BAW599,72496.0,,BRITISH AIRWAYS,CONCORDE,G-BOAC,Gemini Jets British Airways Concorde 102 1:200 G2BAW599 	 United Kingdom - Union Jack  Colors. With Rolling Gears. With Stand.G-BOAC,1:200,56.0,4.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7591.0
6686,G2DAL444,72497.0,,DELTA,A321-200,N301DN,Gemini Jets Delta Air Lines A321-211WL 1:200 G2DAL444 	 2007s  Colors. With  SkyTeam  Logo. With Rolling Gears. With Stand.N301DN,1:200,54.0,3.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7592.0
6687,G2NWA607,72499.0,,NORTHWEST,B747-400,N675NW,Gemini Jets Northwest Airlines B 747-451 1:200 G2NWA607 	 1990s  Colors. With  KLM/Northest  Logo. With  Spirit of the Northwest People  Titles. With Rolling Gears. With Stand.N675NW,1:200,102.0,5.0,0.0,GEMINIJETS,ADI,2016-07-26,False,7558.0
6688,G2UAL330,72502.0,,UNITED,DHC-8Q-200,N361PH,Gemini Jets United Express / CommutAir DHC-8Q-202 1:200 G2UAL330  2012s  Colors. With  Star Alliance  Logo. With Rolling Gears. With Stand.N361PH,1:200,37.0,4.0,0.0,JC WINGS,ADI,2016-07-26,False,7594.0
6689,G2AFO592,72505.0,,USAF,E-4B,74-0787,Gemini Jets United States Air Force E-4B 1:200 G2AFO592  Airborne Command Post  Colors. With Rolling Gears. With Stand.74-0787,1:200,105.0,5.0,0.0,JC WINGS,ADI,2016-07-26,False,7595.0
6690,XX4309,71773.0,,Cathay Pacific,B747-400,B-LIA,JC Wings CATHAY PACIFIC B 747-467ERF 1:400 XX4309  2015s  Colors. With Rolling Gears.B-LIA,1:400,27.0,1.0,0.0,JC WINGS,ADI,2016-07-26,False,7596.0
6691,XX4003,71775.0,,BRITISH AIRWAYS,B777-200ER,G-YMME,JC Wings British Airways B 777-236ER 1:400 XX4003  United Kingdom - Union Jack  Colors. With  Red Nose . With Rolling Gears.G-YMME,1:400,27.0,1.0,0.0,JC WINGS,ADI,2016-07-26,False,7597.0
6692,XX2957,71763.0,,BOEING,B747-400,N401PW,JC Wings Boeing Aircraft Company B 747-451 1:200 XX2957  1980s - House  Colors. With Rolling Gears. With Stand.N401PW,1:200,87.0,4.0,0.0,JC WINGS,ADI,2016-07-26,False,7598.0
